asv	Bact89	Bact1z3z2R	Bact5z5z2	Bact3z5z2	Bact183	Bact3z1z2R	Bact1z2z2R	Bact3z4z2	Bact128	Bact3z5z2R	Bact3z3z2	Bact90	Bact197	Bact5z5z2R	Bact127	Bact175zFB	Bact5z1z2	Bact1z5z2	Bact101	Bact5z3z2	Bact3z4z2R	Bact198	Bact1z1z2	Bact180	Bact177	Bact192	Bact5z2z2R	Bact5z1z2R	Bact5z2z2	Bact181	Bact3z3z2R	Bact176	Bact86	Bact194	Bact3z2z2R	Bact5z3z2R	Bact5z4z2	Bact1z3z2	Bact105	Bact5z4z2R	Bact182	Bact196	Bact130	Bact87	Bact184	Bact102	Bact193	Bact103	Bact1z1z2R	Bact126	Bact195	Bact1z4z2	Bact3z1z2	Bact1z5z2R	Bact3z2z2	Bact1z4z2R	Bact190	Bact104	Bact88	Bact179	Bact191	Bact1z2z2	Bact178
6cb7733ce7ac764ec099e7f8ae57b2f0	119.0	0.0	0.0	6.0	0.0	16.0	0.0	4.0	37.0	9.0	33.0	24.0	0.0	1.0	12.0	26.0	48.0	0.0	119.0	0.0	7.0	0.0	191.0	0.0	0.0	0.0	67.0	38.0	50.0	0.0	31.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	53.0	120.0	0.0	5.0	0.0	159.0	154.0	6.0	0.0	1.0	8.0	1.0	0.0	0.0	9.0	25.0	77.0	0.0	0.0	108.0	0.0
fcb404af6bfc255ae239a8215ce1c117	113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0
c82ae198cfb2fd9b4ecf398040cca195	106.0	7.0	85.0	74.0	21.0	187.0	0.0	255.0	34.0	81.0	32.0	171.0	8.0	13.0	125.0	2.0	165.0	0.0	99.0	525.0	127.0	0.0	281.0	27.0	88.0	31.0	181.0	181.0	168.0	0.0	55.0	48.0	108.0	62.0	41.0	153.0	214.0	0.0	37.0	0.0	58.0	6.0	175.0	33.0	17.0	34.0	6.0	171.0	173.0	80.0	19.0	0.0	125.0	0.0	115.0	0.0	56.0	318.0	45.0	49.0	0.0	36.0	35.0
d8e1a3ce364f9c03a10a0ab0ccb8f74c	100.0	0.0	18.0	32.0	0.0	76.0	3.0	60.0	77.0	16.0	60.0	124.0	0.0	1.0	0.0	32.0	96.0	0.0	119.0	0.0	53.0	0.0	51.0	1.0	0.0	0.0	0.0	81.0	1.0	0.0	95.0	1.0	81.0	0.0	1.0	0.0	2.0	0.0	30.0	0.0	0.0	0.0	82.0	0.0	0.0	55.0	0.0	56.0	55.0	0.0	0.0	0.0	51.0	0.0	161.0	0.0	0.0	89.0	0.0	0.0	0.0	97.0	0.0
5dad23415655250f10b44c3e3303eb3e	94.0	8.0	60.0	39.0	0.0	59.0	0.0	74.0	64.0	59.0	27.0	137.0	0.0	5.0	3.0	35.0	51.0	3.0	85.0	9.0	53.0	0.0	85.0	6.0	14.0	0.0	23.0	85.0	6.0	0.0	64.0	24.0	84.0	18.0	33.0	3.0	168.0	3.0	31.0	0.0	5.0	0.0	98.0	39.0	0.0	61.0	11.0	140.0	101.0	4.0	0.0	0.0	40.0	0.0	70.0	0.0	12.0	188.0	34.0	13.0	0.0	21.0	20.0
3589aeb4cb9a9d9cdf935a073e3ca5ac	93.0	0.0	80.0	0.0	2.0	11.0	0.0	40.0	36.0	0.0	13.0	18.0	0.0	9.0	0.0	0.0	80.0	2.0	26.0	19.0	20.0	0.0	0.0	5.0	35.0	0.0	26.0	84.0	8.0	0.0	0.0	44.0	23.0	11.0	60.0	6.0	52.0	0.0	13.0	0.0	14.0	0.0	10.0	17.0	4.0	12.0	0.0	91.0	0.0	13.0	9.0	0.0	18.0	0.0	0.0	4.0	46.0	35.0	24.0	3.0	0.0	3.0	27.0
5b77a7498f719451a9a46961d8098b3d	86.0	0.0	5.0	3.0	0.0	23.0	0.0	73.0	3.0	2.0	24.0	0.0	0.0	0.0	0.0	6.0	29.0	0.0	0.0	0.0	69.0	0.0	69.0	2.0	3.0	0.0	0.0	56.0	0.0	0.0	48.0	2.0	20.0	0.0	6.0	0.0	13.0	0.0	6.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	38.0	0.0	0.0	0.0	13.0	3.0	40.0	0.0	0.0	3.0	3.0	0.0	0.0	40.0	0.0
37a565ccbbec24a0fae9e0c72d5d30b6	83.0	1.0	0.0	42.0	0.0	170.0	13.0	136.0	14.0	44.0	150.0	175.0	0.0	2.0	0.0	23.0	71.0	5.0	16.0	37.0	138.0	0.0	296.0	1.0	16.0	0.0	38.0	97.0	32.0	0.0	326.0	0.0	162.0	0.0	0.0	27.0	82.0	0.0	23.0	0.0	6.0	0.0	3.0	6.0	0.0	27.0	0.0	88.0	240.0	0.0	0.0	4.0	149.0	6.0	313.0	9.0	10.0	167.0	11.0	2.0	0.0	95.0	2.0
80304e5e45f4793738268642f7cd9d5a	83.0	0.0	0.0	0.0	0.0	9.0	2.0	0.0	1.0	0.0	6.0	78.0	0.0	1.0	0.0	0.0	118.0	0.0	30.0	0.0	0.0	0.0	136.0	2.0	28.0	0.0	0.0	141.0	0.0	0.0	4.0	27.0	20.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	18.0	103.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	8.0	49.0	4.0	0.0	0.0	37.0	3.0
ba8593992ee2408067a0df28b8f8cde8	81.0	0.0	1.0	0.0	0.0	21.0	0.0	8.0	47.0	9.0	14.0	20.0	0.0	0.0	0.0	0.0	64.0	0.0	40.0	0.0	7.0	0.0	48.0	0.0	4.0	0.0	0.0	110.0	0.0	0.0	33.0	0.0	44.0	0.0	4.0	0.0	11.0	0.0	14.0	0.0	0.0	0.0	51.0	2.0	0.0	2.0	0.0	8.0	67.0	0.0	0.0	0.0	13.0	0.0	45.0	0.0	2.0	49.0	4.0	0.0	0.0	13.0	2.0
65c62076cb1ba6b7c134043acd3fc141	80.0	29.0	51.0	11.0	0.0	34.0	0.0	66.0	2.0	28.0	21.0	89.0	0.0	1.0	8.0	0.0	0.0	0.0	55.0	30.0	28.0	0.0	10.0	21.0	31.0	8.0	14.0	28.0	21.0	0.0	11.0	0.0	27.0	107.0	21.0	10.0	108.0	3.0	13.0	0.0	15.0	0.0	23.0	27.0	0.0	0.0	15.0	36.0	4.0	11.0	11.0	9.0	27.0	9.0	27.0	5.0	21.0	45.0	13.0	0.0	0.0	0.0	4.0
fe496faa591f82b77a0f7c2886dfe861	79.0	0.0	3.0	0.0	0.0	44.0	0.0	7.0	4.0	4.0	35.0	314.0	0.0	3.0	4.0	4.0	28.0	0.0	86.0	0.0	0.0	0.0	171.0	0.0	0.0	0.0	0.0	45.0	3.0	0.0	115.0	0.0	87.0	0.0	7.0	0.0	13.0	0.0	2.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	225.0	232.0	0.0	2.0	0.0	20.0	0.0	171.0	0.0	25.0	80.0	19.0	0.0	0.0	23.0	0.0
31dbf1674f3a2dbb7b3ada80e4767376	77.0	0.0	2.0	0.0	0.0	0.0	3.0	6.0	0.0	0.0	19.0	44.0	0.0	9.0	0.0	0.0	79.0	0.0	36.0	0.0	0.0	0.0	22.0	7.0	30.0	0.0	0.0	80.0	0.0	0.0	13.0	18.0	5.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	15.0	0.0	3.0	0.0	72.0	0.0
c5bd162e6dcc0278b35e691c904e6fbc	77.0	55.0	70.0	143.0	89.0	131.0	0.0	145.0	104.0	197.0	121.0	194.0	164.0	19.0	166.0	76.0	76.0	74.0	121.0	253.0	129.0	23.0	108.0	127.0	0.0	190.0	268.0	66.0	125.0	39.0	0.0	28.0	108.0	149.0	24.0	113.0	137.0	23.0	95.0	177.0	9.0	177.0	93.0	237.0	92.0	99.0	52.0	232.0	84.0	168.0	163.0	107.0	80.0	122.0	109.0	125.0	70.0	238.0	196.0	61.0	240.0	15.0	48.0
ce106756f2dbb337934566ae98b31e6e	76.0	11.0	9.0	6.0	3.0	55.0	0.0	12.0	30.0	13.0	23.0	27.0	0.0	3.0	13.0	0.0	21.0	0.0	2.0	0.0	14.0	0.0	18.0	21.0	22.0	0.0	0.0	22.0	0.0	0.0	9.0	15.0	41.0	3.0	6.0	0.0	13.0	8.0	4.0	0.0	23.0	0.0	53.0	21.0	0.0	58.0	3.0	23.0	11.0	12.0	0.0	0.0	32.0	0.0	16.0	0.0	36.0	21.0	9.0	0.0	0.0	0.0	15.0
59fccdb49b58df5fd049aaab9e32b104	73.0	0.0	16.0	0.0	0.0	11.0	0.0	8.0	0.0	4.0	40.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	13.0	0.0	13.0	0.0	0.0	4.0	34.0	0.0	0.0	0.0	0.0	4.0	0.0	148.0	9.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	3.0	0.0	20.0	0.0	9.0	0.0	0.0	0.0	0.0	22.0	0.0	146.0	0.0	0.0	26.0	0.0	13.0	0.0	0.0	7.0
a8ff1696d560863e5397df5c919783a2	71.0	12.0	49.0	10.0	29.0	59.0	3.0	26.0	16.0	4.0	125.0	66.0	5.0	2.0	16.0	0.0	13.0	1.0	5.0	1.0	0.0	0.0	0.0	45.0	52.0	0.0	15.0	10.0	13.0	5.0	423.0	9.0	26.0	0.0	78.0	3.0	77.0	0.0	0.0	0.0	34.0	0.0	31.0	25.0	33.0	6.0	0.0	4.0	23.0	6.0	0.0	0.0	21.0	9.0	438.0	4.0	4.0	29.0	8.0	67.0	0.0	47.0	40.0
ca51535665f945d3584d1c12fa915e39	68.0	0.0	0.0	4.0	0.0	21.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	3.0	0.0	0.0	87.0	0.0	53.0	0.0	0.0	0.0	68.0	27.0	0.0	0.0	0.0	120.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	5.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	0.0	93.0	41.0	0.0	0.0	0.0	16.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
b915d820cf37fa8b2867451ee85b3f18	65.0	13.0	56.0	18.0	2.0	47.0	11.0	8.0	75.0	19.0	46.0	52.0	0.0	7.0	49.0	32.0	122.0	6.0	94.0	0.0	13.0	0.0	99.0	13.0	12.0	3.0	25.0	51.0	30.0	0.0	17.0	49.0	72.0	24.0	21.0	0.0	79.0	14.0	9.0	0.0	8.0	0.0	41.0	70.0	0.0	58.0	0.0	72.0	54.0	22.0	8.0	4.0	55.0	2.0	68.0	1.0	131.0	61.0	54.0	8.0	0.0	82.0	20.0
4673a4d0354ad8a2e8ecb58dbd036b1e	63.0	19.0	39.0	77.0	0.0	126.0	0.0	45.0	72.0	75.0	33.0	87.0	1.0	14.0	43.0	0.0	75.0	12.0	125.0	120.0	59.0	0.0	33.0	11.0	37.0	15.0	85.0	78.0	129.0	4.0	35.0	49.0	75.0	23.0	26.0	95.0	127.0	10.0	34.0	0.0	24.0	0.0	181.0	118.0	3.0	51.0	0.0	87.0	47.0	9.0	6.0	5.0	106.0	12.0	79.0	10.0	70.0	36.0	115.0	18.0	0.0	13.0	7.0
f25cdf3e7c2def6728793a91b532095b	62.0	0.0	82.0	0.0	0.0	9.0	0.0	26.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	6.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	12.0	0.0	37.0	0.0	2.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	24.0	0.0	0.0	3.0	0.0	5.0	0.0	0.0	3.0
de83c1220353a58123312831416388d7	62.0	0.0	13.0	113.0	0.0	5.0	0.0	0.0	207.0	146.0	74.0	357.0	0.0	10.0	44.0	0.0	206.0	19.0	51.0	227.0	0.0	0.0	282.0	0.0	0.0	6.0	27.0	219.0	33.0	0.0	105.0	0.0	199.0	0.0	19.0	173.0	0.0	0.0	7.0	0.0	0.0	7.0	279.0	71.0	0.0	20.0	0.0	312.0	291.0	34.0	0.0	20.0	0.0	33.0	224.0	30.0	14.0	0.0	394.0	0.0	6.0	155.0	0.0
36c667df7a8e1e04fdda148de0e1d948	62.0	13.0	53.0	173.0	50.0	100.0	3.0	156.0	7.0	37.0	75.0	37.0	17.0	21.0	6.0	4.0	62.0	26.0	26.0	113.0	42.0	2.0	77.0	29.0	21.0	48.0	33.0	26.0	113.0	8.0	18.0	73.0	25.0	46.0	15.0	44.0	67.0	57.0	23.0	10.0	20.0	20.0	4.0	37.0	16.0	8.0	18.0	13.0	17.0	49.0	51.0	33.0	230.0	4.0	81.0	9.0	163.0	29.0	30.0	47.0	36.0	60.0	39.0
585ad8691cdc085f04c65781211875b2	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b8fdedee5e7676af510ba4f3b7f055d4	61.0	0.0	14.0	13.0	0.0	78.0	0.0	0.0	15.0	10.0	10.0	76.0	0.0	6.0	0.0	0.0	47.0	0.0	19.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	2.0	2.0	34.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	6.0	0.0	7.0	48.0	0.0	0.0	0.0	38.0	0.0	35.0	0.0	0.0	28.0	2.0	0.0	0.0	6.0	0.0
04f9e1c20d7b23b0bfff5ad9474789e8	57.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
04c0228750ba6ff4a229681609ab5158	56.0	9.0	8.0	57.0	0.0	14.0	2.0	18.0	0.0	71.0	35.0	1.0	0.0	0.0	2.0	0.0	24.0	0.0	0.0	3.0	5.0	0.0	133.0	0.0	1.0	0.0	0.0	37.0	11.0	0.0	53.0	14.0	7.0	8.0	8.0	8.0	43.0	5.0	0.0	0.0	0.0	0.0	1.0	92.0	0.0	0.0	0.0	10.0	133.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	39.0	0.0	92.0	2.0	0.0	53.0	0.0
a8846f8a679ff0a6519b233f323161ad	53.0	7.0	80.0	19.0	9.0	38.0	0.0	68.0	104.0	7.0	11.0	38.0	0.0	8.0	16.0	0.0	39.0	0.0	85.0	52.0	34.0	0.0	26.0	9.0	22.0	4.0	46.0	50.0	36.0	0.0	8.0	25.0	34.0	30.0	34.0	8.0	109.0	4.0	11.0	0.0	6.0	0.0	134.0	37.0	2.0	6.0	12.0	12.0	19.0	0.0	2.0	2.0	29.0	0.0	30.0	0.0	12.0	100.0	43.0	14.0	0.0	15.0	20.0
d552667aaa3f9438bc6fa397a5479526	53.0	0.0	11.0	1.0	0.0	0.0	1.0	17.0	5.0	0.0	10.0	28.0	0.0	2.0	0.0	0.0	10.0	0.0	12.0	0.0	6.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	4.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	3.0	8.0	3.0	0.0	0.0	63.0	0.0
5c181118ff2d4b11989ba13defcd8a86	52.0	11.0	27.0	60.0	28.0	73.0	11.0	90.0	40.0	68.0	36.0	98.0	0.0	1.0	94.0	37.0	23.0	15.0	39.0	88.0	92.0	0.0	26.0	6.0	13.0	0.0	55.0	44.0	23.0	1.0	21.0	31.0	19.0	49.0	24.0	29.0	88.0	4.0	40.0	0.0	21.0	0.0	50.0	61.0	0.0	48.0	0.0	90.0	19.0	73.0	0.0	33.0	56.0	38.0	35.0	18.0	14.0	74.0	38.0	35.0	4.0	21.0	44.0
fb0a92f301d14c044a9203b5cc10cb5e	52.0	2.0	36.0	30.0	5.0	30.0	9.0	14.0	11.0	15.0	39.0	48.0	3.0	1.0	8.0	0.0	78.0	5.0	26.0	0.0	8.0	0.0	95.0	19.0	6.0	17.0	17.0	19.0	43.0	4.0	7.0	58.0	20.0	11.0	13.0	3.0	34.0	11.0	2.0	0.0	16.0	0.0	13.0	42.0	0.0	9.0	0.0	14.0	15.0	14.0	5.0	3.0	99.0	0.0	64.0	2.0	102.0	17.0	29.0	9.0	1.0	66.0	10.0
dada9369670d604086af10f17cf47a2c	52.0	3.0	8.0	19.0	0.0	13.0	0.0	78.0	29.0	14.0	13.0	26.0	0.0	4.0	4.0	0.0	23.0	0.0	20.0	2.0	50.0	0.0	23.0	2.0	5.0	0.0	9.0	29.0	10.0	0.0	19.0	6.0	14.0	0.0	1.0	0.0	19.0	0.0	7.0	0.0	4.0	0.0	17.0	4.0	0.0	31.0	0.0	13.0	13.0	2.0	0.0	0.0	13.0	1.0	65.0	5.0	0.0	0.0	7.0	0.0	0.0	20.0	9.0
45f475671896806ff67ecd96c3b05e4c	51.0	0.0	3.0	2.0	0.0	24.0	0.0	1.0	7.0	0.0	6.0	59.0	0.0	8.0	0.0	0.0	23.0	0.0	2.0	0.0	0.0	0.0	7.0	0.0	2.0	0.0	0.0	87.0	0.0	0.0	14.0	0.0	22.0	0.0	1.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	6.0	0.0	0.0	0.0	4.0	0.0	23.0	0.0	2.0	33.0	0.0	0.0	0.0	16.0	0.0
2ac8b3552977ca4bb8dbdbd900ccc708	51.0	0.0	8.0	0.0	0.0	4.0	0.0	42.0	0.0	2.0	2.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	3.0	3.0	28.0	0.0	9.0	2.0	2.0	0.0	0.0	6.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	9.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	5.0	4.0	0.0	0.0	2.0	3.0
95eda99f5b5cdd2d40b68ba9f256d49c	50.0	0.0	36.0	11.0	0.0	75.0	0.0	23.0	37.0	13.0	20.0	63.0	10.0	12.0	6.0	0.0	70.0	0.0	72.0	14.0	16.0	0.0	141.0	18.0	7.0	32.0	14.0	72.0	7.0	0.0	34.0	0.0	47.0	15.0	15.0	7.0	36.0	13.0	3.0	0.0	7.0	0.0	21.0	26.0	0.0	32.0	4.0	22.0	128.0	5.0	0.0	0.0	50.0	0.0	51.0	0.0	4.0	57.0	14.0	0.0	0.0	61.0	0.0
1a00d328b9baddfbbdf759055cd8b1bf	50.0	26.0	104.0	119.0	19.0	90.0	0.0	168.0	128.0	86.0	92.0	148.0	4.0	13.0	75.0	155.0	100.0	0.0	68.0	83.0	94.0	0.0	124.0	46.0	59.0	28.0	151.0	143.0	142.0	1.0	80.0	45.0	55.0	83.0	65.0	33.0	120.0	9.0	26.0	0.0	16.0	0.0	184.0	57.0	0.0	25.0	28.0	182.0	71.0	41.0	10.0	0.0	65.0	0.0	74.0	0.0	20.0	101.0	33.0	24.0	0.0	33.0	54.0
c3c50d5ed7b25a83a7cea5e92ca5f159	49.0	11.0	7.0	28.0	8.0	97.0	9.0	15.0	6.0	10.0	13.0	32.0	6.0	18.0	31.0	0.0	13.0	15.0	41.0	11.0	26.0	4.0	20.0	37.0	18.0	14.0	43.0	11.0	72.0	9.0	14.0	31.0	35.0	38.0	10.0	45.0	22.0	3.0	23.0	17.0	14.0	4.0	10.0	56.0	6.0	9.0	25.0	25.0	17.0	16.0	6.0	5.0	30.0	2.0	12.0	13.0	55.0	41.0	37.0	19.0	0.0	0.0	21.0
